,timestamp,open,high,low,close,volume,trades,quote_av,tb_base_av,tb_quote_av,ignore,close_SMA_2,close_SMA_3,close_SMA_4,close_BBANDS_1,close_LINEARREG_SLOPE_2,close_LINEARREG_SLOPE_3,close_LINEARREG_SLOPE_4,close_STDDEV_3,close_STDDEV_4,close_RSI_3,close_RSI_5,close_MACD_1,close_ATR_3,close_ATR_5,close_STOCH_1,close_EMA_3,close_EMA_4,close_CCI_3,close_CCI_4,close_OBV_1
timestamp,1.0,0.7682933490374073,0.7678531779990708,0.7687624479038966,0.7682951409144501,0.16027052017538126,0.4336178703360545,0.35073292644849036,0.15639346572032692,0.3462834958956669,,0.7682976716067652,0.7682976716067652,0.7682976716067652,0.7682951409144501,0.004337205459146303,0.004337205459146303,0.004337205459146303,0.2862306786012724,0.2862306786012724,-0.006379455804777547,-0.006379455804777547,0.7682951409144501,0.35380093989200734,0.35380093989200734,0.7682951409144501,0.7683009806802247,0.7683009806802247,-0.00930377200554063,-0.00930377200554063,0.7682951409144501
open,0.7682933490374073,1.0,0.9999908057915454,0.9999884687812948,0.9999852303175779,-0.05153225604222711,0.3016497546749081,0.2924496540983064,-0.05420275314290693,0.28755801541846265,,0.9999944130290207,0.9999944130290207,0.9999944130290207,0.9999852303175779,0.006994119889725343,0.006994119889725343,0.006994119889725343,0.5144052642950474,0.5144052642950474,0.0017438360969515912,0.0017438360969515912,0.9999852303175779,0.6511250916666214,0.6511250916666214,0.9999852303175779,0.999994629527839,0.999994629527839,-0.006072890036508788,-0.006072890036508788,0.9999852303175779
high,0.7678531779990708,0.9999908057915454,1.0,0.9999804108566872,0.9999913048270903,-0.05050923437984169,0.302597441561657,0.293992814483336,-0.05304607141056303,0.289311645301658,,0.9999896851352749,0.9999896851352749,0.9999896851352749,0.9999913048270903,0.008249100527315006,0.008249100527315006,0.008249100527315006,0.5163823467797084,0.5163823467797084,0.0028053719287513992,0.0028053719287513992,0.9999913048270903,0.6529530097547641,0.6529530097547641,0.9999913048270903,0.9999922475502219,0.9999922475502219,-0.004823556057878392,-0.004823556057878392,0.9999913048270903
low,0.7687624479038966,0.9999884687812948,0.9999804108566872,1.0,0.9999906012402157,-0.052761013473403486,0.3004630756375302,0.2905632503109158,-0.05523816815269171,0.2859789706934034,,0.999985850309038,0.999985850309038,0.999985850309038,0.9999906012402157,0.008956508927123123,0.008956508927123123,0.008956508927123123,0.5121467672603287,0.5121467672603287,0.0031889469532099396,0.0031889469532099396,0.9999906012402157,0.6490918700284412,0.6490918700284412,0.9999906012402157,0.9999886590599877,0.9999886590599877,-0.004586365600736823,-0.004586365600736823,0.9999906012402157
close,0.7682951409144501,0.9999852303175779,0.9999913048270903,0.9999906012402157,1.0,-0.05160487544097564,0.3015778742249933,0.29235587048969985,-0.05401772722046372,0.28787283161610383,,0.9999873036520984,0.9999873036520984,0.9999873036520984,1.0,0.009727611605064223,0.009727611605064223,0.009727611605064223,0.5143290744799219,0.5143290744799219,0.0038873204873156528,0.0038873204873156528,1.0,0.6511111936020331,0.6511111936020331,1.0,0.9999919386312738,0.9999919386312738,-0.003942899544477783,-0.003942899544477783,1.0
volume,0.16027052017538126,-0.05153225604222711,-0.05050923437984169,-0.052761013473403486,-0.05160487544097564,1.0,0.791236555196624,0.8487091256499132,0.993235375720672,0.8412850973784155,,-0.05148729839342414,-0.05148729839342414,-0.05148729839342414,-0.05160487544097565,-0.02760215956443844,-0.02760215956443844,-0.02760215956443844,0.2491137919290375,0.2491137919290375,-0.015808147591302498,-0.015808147591302498,-0.05160487544097565,0.17948875507605141,0.17948875507605141,-0.05160487544097565,-0.05150024933667802,-0.05150024933667802,-0.013896766473309815,-0.013896766473309815,-0.05160487544097565
trades,0.4336178703360545,0.3016497546749081,0.302597441561657,0.3004630756375302,0.3015778742249933,0.791236555196624,1.0,0.8708514207084225,0.787515884137584,0.8640820915600697,,0.3017117066348398,0.3017117066348398,0.3017117066348398,0.3015778742249933,-0.02892478054521499,-0.02892478054521499,-0.02892478054521499,0.4217278140884178,0.4217278140884178,-0.014866838320150356,-0.014866838320150356,0.3015778742249933,0.3912441967856224,0.3912441967856224,0.3015778742249933,0.30169849663312104,0.30169849663312104,-0.015025069732236851,-0.015025069732236851,0.3015778742249933
quote_av,0.35073292644849036,0.2924496540983064,0.293992814483336,0.2905632503109158,0.29235587048969985,0.8487091256499132,0.8708514207084225,1.0,0.8433950971784101,0.990806328630351,,0.29253219576631695,0.29253219576631695,0.29253219576631695,0.2923558704896998,-0.03822731394705008,-0.03822731394705008,-0.03822731394705008,0.5724155761329335,0.5724155761329335,-0.012734568876928731,-0.012734568876928731,0.2923558704896998,0.5280355688036455,0.5280355688036455,0.2923558704896998,0.2925139949533712,0.2925139949533712,-0.013811417260538332,-0.013811417260538332,0.2923558704896998
tb_base_av,0.15639346572032692,-0.05420275314290693,-0.05304607141056303,-0.05523816815269171,-0.05401772722046372,0.993235375720672,0.787515884137584,0.8433950971784101,1.0,0.8483922970620801,,-0.05413622887874556,-0.05413622887874556,-0.05413622887874556,-0.054017727220463725,0.008892175840735036,0.008892175840735036,0.008892175840735036,0.2427908008974032,0.2427908008974032,0.025510866924771274,0.025510866924771274,-0.054017727220463725,0.1733633075352732,0.1733633075352732,-0.054017727220463725,-0.05410465683723225,-0.05410465683723225,0.024048263230461046,0.024048263230461046,-0.054017727220463725
tb_quote_av,0.3462834958956669,0.28755801541846265,0.289311645301658,0.2859789706934034,0.28787283161610383,0.8412850973784155,0.8640820915600697,0.990806328630351,0.8483922970620801,1.0,,0.2876726917322982,0.2876726917322982,0.2876726917322982,0.28787283161610383,0.02020286604966688,0.02020286604966688,0.02020286604966688,0.5623970663598205,0.5623970663598205,0.030969653562583136,0.030969653562583136,0.28787283161610383,0.517335132691452,0.517335132691452,0.28787283161610383,0.28772571219365556,0.28772571219365556,0.026681509024901427,0.026681509024901427,0.28787283161610383
